team,salary,player,position,season
Golden State Warriors,37457154.0,Stephen Curry, PG,2017-2018
Boston Celtics,27734406.0,Al Horford, C,2017-2018
Oklahoma City Thunder,26243760.0,Carmelo Anthony, PF,2017-2018
Portland Trail Blazers,26153057.0,Damian Lillard, PG,2017-2018
Washington Wizards,26011913.0,Otto Porter Jr., SF,2017-2018
New Orleans Pelicans,25686667.0,Jrue Holiday, PG,2017-2018
Washington Wizards,25434263.0,Bradley Beal, SG,2017-2018
Detroit Pistons,25434263.0,Andre Drummond, C,2017-2018
Miami Heat,25434262.0,Hassan Whiteside, C,2017-2018
Philadelphia 76ers,25250000.0,Joel Embiid, C,2017-2018
Houston Rockets,24599495.0,Chris Paul, PG,2017-2018
LA Clippers,32088932.0,Blake Griffin, PF,2017-2018
Milwaukee Bucks,24157303.0,Giannis Antetokounmpo, PF,2017-2018
Cleveland Cavaliers,24119025.0,Kevin Love, PF,2017-2018
Charlotte Hornets,24000000.0,Nicolas Batum, SF,2017-2018
Portland Trail Blazers,23962573.0,CJ McCollum, SG,2017-2018
Charlotte Hornets,23819725.0,Dwight Howard, C,2017-2018
New Orleans Pelicans,23775506.0,Anthony Davis, PF,2017-2018
Memphis Grizzlies,23112004.0,Chandler Parsons, SF,2017-2018
Dallas Mavericks,23112004.0,Harrison Barnes, SF,2017-2018
Los Angeles Lakers,22642650.0,Brook Lopez, C,2017-2018
Memphis Grizzlies,22642350.0,Marc Gasol, C,2017-2018
Denver Nuggets,31269231.0,Paul Millsap, PF,2017-2018
LA Clippers,22642350.0,DeAndre Jordan, C,2017-2018
Oklahoma City Thunder,22471910.0,Steven Adams, C,2017-2018
Utah Jazz,21924719.0,Rudy Gobert, C,2017-2018
Toronto Raptors,21666667.0,Serge Ibaka, PF,2017-2018
San Antonio Spurs,21461010.0,LaMarcus Aldridge, PF,2017-2018
Indiana Pacers,21000000.0,Victor Oladipo, SG,2017-2018
LA Clippers,20559599.0,Danilo Gallinari, SF,2017-2018
Houston Rockets,19578455.0,Ryan Anderson, PF,2017-2018
