team,salary,player,position,season
Los Angeles Lakers,24806250.0,Kobe Bryant, SF,2010-2011
Memphis Grizzlies,17666666.0,Zach Randolph, PF,2010-2011
Phoenix Suns,17522375.0,Vince Carter, SF,2010-2011
Dallas Mavericks,17278618.0,Dirk Nowitzki, PF,2010-2011
New York Knicks,17149243.0,Carmelo Anthony, PF,2010-2011
Orlando Magic,16647180.0,Dwight Howard, C,2010-2011
Denver Nuggets,16545454.0,Kenyon Martin, PF,2010-2011
New York Knicks,16486611.0,Amar'e Stoudemire, C,2010-2011
Atlanta Hawks,16324500.0,Joe Johnson, G,2010-2011
Philadelphia 76ers,15959099.0,Elton Brand, PF,2010-2011
New Orleans Hornets,14940153.0,Chris Paul, PG,2010-2011
Washington Wizards,19573711.0,Rashard Lewis, PF,2010-2011
Utah Jazz,14940153.0,Deron Williams, PG,2010-2011
Miami Heat,14500000.0,Chris Bosh, PF,2010-2011
Miami Heat,14500000.0,LeBron James, SF,2010-2011
Phoenix Suns,14444443.0,Jason Richardson, SG,2010-2011
Chicago Bulls,14400000.0,Carlos Boozer, PF,2010-2011
Miami Heat,14200000.0,Dwyane Wade, SG,2010-2011
LA Clippers,14000000.0,Baron Davis, PG,2010-2011
Boston Celtics,13876321.0,Paul Pierce, SF,2010-2011
Los Angeles Lakers,13700000.0,Andrew Bynum, C,2010-2011
Memphis Grizzlies,13603750.0,Rudy Gay, SF,2010-2011
San Antonio Spurs,18835381.0,Tim Duncan, C,2010-2011
Portland Trail Blazers,13603750.0,Brandon Roy, SG,2010-2011
San Antonio Spurs,13500000.0,Tony Parker, PG,2010-2011
Sacramento Kings,13428129.0,Samuel Dalembert, C,2010-2011
Cleveland Cavaliers,13358905.0,Antawn Jamison, PF,2010-2011
Oklahoma City Thunder,13270000.0,Nick Collison, F,2010-2011
New York Knicks,13150000.0,Chauncey Billups, PG,2010-2011
Utah Jazz,13000000.0,Al Jefferson, C,2010-2011
Dallas Mavericks,12600000.0,Tyson Chandler, C,2010-2011
Detroit Pistons,12500000.0,Richard Hamilton, SG,2010-2011
Philadelphia 76ers,12345250.0,Andre Iguodala, SG,2010-2011
Boston Celtics,18832044.0,Kevin Garnett, PF,2010-2011
San Antonio Spurs,11854584.0,Manu Ginobili, G,2010-2011
Milwaukee Bucks,18300000.0,Michael Redd, SG,2010-2011
Los Angeles Lakers,17823000.0,Pau Gasol, C,2010-2011
Utah Jazz,17823000.0,Andrei Kirilenko, SF,2010-2011
Washington Wizards,17730694.0,Gilbert Arenas, PG,2010-2011
Houston Rockets,17686100.0,Yao Ming, C,2010-2011
LA Clippers,11800000.0,Chris Kaman, C,2010-2011
Portland Trail Blazers,11749832.0,Marcus Camby, C,2010-2011
Atlanta Hawks,11700000.0,Josh Smith, PF,2010-2011
Miami Heat,11530592.0,Eddy Curry, C,2010-2011
New Orleans Hornets,11495000.0,Emeka Okafor, C,2010-2011
Denver Nuggets,11360000.0,Nene Hilario, C,2010-2011
Chicago Bulls,11345000.0,Luol Deng, SF,2010-2011
Portland Trail Blazers,11244000.0,LaMarcus Aldridge, PF,2010-2011
Detroit Pistons,11148760.0,Tayshaun Prince, SF,2010-2011
Milwaukee Bucks,11000000.0,Andrew Bogut, C,2010-2011
Golden State Warriors,11000000.0,Monta Ellis, SG,2010-2011
Indiana Pacers,10973202.0,Danny Granger, SF,2010-2011
Golden State Warriors,10800000.0,David Lee, PF,2010-2011
Atlanta Hawks,10800000.0,Jamal Crawford, SG,2010-2011
Detroit Pistons,10800000.0,Ben Gordon, SG,2010-2011
Houston Rockets,10600005.0,Kevin Martin, SG,2010-2011
Indiana Pacers,10561984.0,Mike Dunleavy, SG,2010-2011
Dallas Mavericks,10561960.0,Caron Butler, SF,2010-2011
Charlotte Bobcats,10500000.0,Gerald Wallace, SF,2010-2011
Phoenix Suns,10310938.0,Steve Nash, PG,2010-2011
Phoenix Suns,10215850.0,Hedo Turkoglu, SF,2010-2011
Boston Celtics,10000000.0,Ray Allen, SG,2010-2011
Utah Jazz,9945000.0,Mehmet Okur, C,2010-2011
Dallas Mavericks,9873000.0,Jason Terry, G,2010-2011
Milwaukee Bucks,9600000.0,Corey Maggette, SF,2010-2011
LA Clippers,9500000.0,Cuttino Mobley, SG,2010-2011
LA Clippers,9300000.0,Mo Williams, PG,2010-2011
