team,salary,player,position,season
Los Angeles Lakers,23500000.0,Kobe Bryant, SF,2014-2015
Oklahoma City Thunder,18995624.0,Kevin Durant, SF,2014-2015
Chicago Bulls,18862876.0,Derrick Rose, PG,2014-2015
LA Clippers,17674613.0,Blake Griffin, PF,2014-2015
Memphis Grizzlies,16500000.0,Zach Randolph, PF,2014-2015
Portland Trail Blazers,16006000.0,LaMarcus Aldridge, PF,2014-2015
Indiana Pacers,15937290.0,Paul George, SF,2014-2015
Memphis Grizzlies,15829688.0,Marc Gasol, C,2014-2015
Cleveland Cavaliers,15719063.0,Kevin Love, PF,2014-2015
Oklahoma City Thunder,15719062.0,Russell Westbrook, PG,2014-2015
Brooklyn Nets,15719062.0,Brook Lopez, C,2014-2015
Brooklyn Nets,23180790.0,Joe Johnson, G,2014-2015
Golden State Warriors,15012000.0,David Lee, PF,2014-2015
Miami Heat,15000000.0,Dwyane Wade, SG,2014-2015
New Orleans Pelicans,14898938.0,Eric Gordon, SG,2014-2015
Indiana Pacers,14898938.0,Roy Hibbert, C,2014-2015
Dallas Mavericks,14846888.0,Tyson Chandler, C,2014-2015
Washington Wizards,14746000.0,John Wall, PG,2014-2015
Utah Jazz,14746000.0,Gordon Hayward, SF,2014-2015
Houston Rockets,14728844.0,James Harden, PG,2014-2015
Dallas Mavericks,14700000.0,Chandler Parsons, SF,2014-2015
Charlotte Hornets,13500000.0,Al Jefferson, C,2014-2015
New York Knicks,22458401.0,Carmelo Anthony, PF,2014-2015
Phoenix Suns,13000000.0,Eric Bledsoe, PG,2014-2015
Washington Wizards,13000000.0,Nene Hilario, C,2014-2015
Golden State Warriors,12972973.0,Andrew Bogut, C,2014-2015
Utah Jazz,12950000.0,Derrick Favors, PF,2014-2015
Dallas Mavericks,12909090.0,Rajon Rondo, PG,2014-2015
Chicago Bulls,12700000.0,Joakim Noah, C,2014-2015
San Antonio Spurs,12500000.0,Tony Parker, PG,2014-2015
Oklahoma City Thunder,12350000.0,Serge Ibaka, PF,2014-2015
Golden State Warriors,12289544.0,Andre Iguodala, SG,2014-2015
Minnesota Timberwolves,12100000.0,Nikola Pekovic, C,2014-2015
Houston Rockets,21436271.0,Dwight Howard, C,2014-2015
Indiana Pacers,12000000.0,David West, F,2014-2015
Miami Heat,20644400.0,Chris Bosh, PF,2014-2015
Cleveland Cavaliers,20644400.0,LeBron James, SF,2014-2015
LA Clippers,20068563.0,Chris Paul, PG,2014-2015
Brooklyn Nets,19754465.0,Deron Williams, PG,2014-2015
Sacramento Kings,19317326.0,Rudy Gay, SF,2014-2015
Toronto Raptors,12000000.0,Kyle Lowry, PG,2014-2015
Atlanta Hawks,12000000.0,Al Horford, C,2014-2015
Portland Trail Blazers,11765500.0,Nicolas Batum, SF,2014-2015
Denver Nuggets,11595506.0,Ty Lawson, G,2014-2015
New York Knicks,11500000.0,Andrea Bargnani, C,2014-2015
LA Clippers,11440123.0,DeAndre Jordan, C,2014-2015
New Orleans Pelicans,11265416.0,Tyreke Evans, SG,2014-2015
Philadelphia 76ers,11250000.0,JaVale McGee, C,2014-2015
Milwaukee Bucks,11000000.0,Larry Sanders, PF,2014-2015
Denver Nuggets,10854850.0,Danilo Gallinari, SF,2014-2015
Golden State Warriors,10629213.0,Stephen Curry, PG,2014-2015
Washington Wizards,10434782.0,Marcin Gortat, C,2014-2015
San Antonio Spurs,10361446.0,Tim Duncan, C,2014-2015
Boston Celtics,10105855.0,Gerald Wallace, SF,2014-2015
Toronto Raptors,10100000.0,DeMar DeRozan, SG,2014-2015
New Orleans Pelicans,9904495.0,Jrue Holiday, PG,2014-2015
Miami Heat,9714461.0,Luol Deng, SF,2014-2015
Cleveland Cavaliers,9704545.0,Anderson Varejao, C,2014-2015
Los Angeles Lakers,9701000.0,Steve Nash, PG,2014-2015
Atlanta Hawks,9500000.0,Paul Millsap, PF,2014-2015
Brooklyn Nets,9410869.0,Thaddeus Young, PF,2014-2015
San Antonio Spurs,9250000.0,Tiago Splitter, C,2014-2015
Memphis Grizzlies,9200000.0,Jeff Green, SF,2014-2015
Los Angeles Lakers,9000000.0,Jordan Hill, C,2014-2015
Charlotte Hornets,9000000.0,Lance Stephenson, SG,2014-2015
Memphis Grizzlies,8694216.0,Mike Conley, PG,2014-2015
Houston Rockets,8579089.0,Trevor Ariza, SF,2014-2015
Orlando Magic,8579088.0,Channing Frye, F,2014-2015
Phoenix Suns,8575000.0,Marcus Thornton, SG,2014-2015
New Orleans Pelicans,8491500.0,Ryan Anderson, PF,2014-2015
New Orleans Pelicans,8374646.0,Omer Asik, C,2014-2015
Los Angeles Lakers,8374646.0,Jeremy Lin, PG,2014-2015
Dallas Mavericks,8360000.0,Monta Ellis, SG,2014-2015
Atlanta Hawks,8000000.0,Jeff Teague, PG,2014-2015
Chicago Bulls,8000000.0,Taj Gibson, PF,2014-2015
Milwaukee Bucks,8000000.0,O.J. Mayo, SG,2014-2015
Indiana Pacers,8000000.0,George Hill, PG,2014-2015
Dallas Mavericks,7974482.0,Dirk Nowitzki, PF,2014-2015
Milwaukee Bucks,7900000.0,Ersan Ilyasova, PF,2014-2015
Memphis Grizzlies,7707865.0,Tayshaun Prince, SF,2014-2015
Brooklyn Nets,6300000.0,Jarrett Jack, G,2014-2015
Atlanta Hawks,6253521.0,Kyle Korver, SG,2014-2015
Toronto Raptors,6250000.0,Landry Fields, SG,2014-2015
Portland Trail Blazers,6124729.0,Robin Lopez, C,2014-2015
Sacramento Kings,6037500.0,Jason Thompson, PF,2014-2015
Charlotte Hornets,6000000.0,Gerald Henderson, SG,2014-2015
Detroit Pistons,6000000.0,Jodie Meeks, SG,2014-2015
