team,salary,player,position,season
Los Angeles Lakers,30453805.0,Kobe Bryant, SF,2013-2014
Miami Heat,18673000.0,Dwyane Wade, SG,2013-2014
LA Clippers,18668431.0,Chris Paul, PG,2013-2014
Brooklyn Nets,18466130.0,Deron Williams, PG,2013-2014
Memphis Grizzlies,18238333.0,Zach Randolph, PF,2013-2014
Toronto Raptors,17888932.0,Rudy Gay, SF,2013-2014
Oklahoma City Thunder,17832627.0,Kevin Durant, SF,2013-2014
Chicago Bulls,17632688.0,Derrick Rose, PG,2013-2014
LA Clippers,16441500.0,Blake Griffin, PF,2013-2014
Brooklyn Nets,15333334.0,Paul Pierce, SF,2013-2014
Chicago Bulls,15300000.0,Carlos Boozer, PF,2013-2014
Dallas Mavericks,22721381.0,Dirk Nowitzki, PF,2013-2014
Portland Trail Blazers,14878000.0,LaMarcus Aldridge, PF,2013-2014
Memphis Grizzlies,14860523.0,Marc Gasol, C,2013-2014
Oklahoma City Thunder,14693906.0,Russell Westbrook, PG,2013-2014
Minnesota Timberwolves,14693906.0,Kevin Love, PF,2013-2014
Philadelphia 76ers,14487500.0,Emeka Okafor, C,2013-2014
New Orleans Pelicans,14283844.0,Eric Gordon, SG,2013-2014
Indiana Pacers,14283844.0,Roy Hibbert, C,2013-2014
Cleveland Cavaliers,14275000.0,Luol Deng, SF,2013-2014
New York Knicks,14100538.0,Tyson Chandler, C,2013-2014
Golden State Warriors,14000000.0,Andrew Bogut, C,2013-2014
New York Knicks,21679893.0,Amar'e Stoudemire, C,2013-2014
Golden State Warriors,13878000.0,David Lee, PF,2013-2014
Houston Rockets,13701250.0,James Harden, PG,2013-2014
Charlotte Bobcats,13500000.0,Al Jefferson, C,2013-2014
Detroit Pistons,13500000.0,Josh Smith, PF,2013-2014
Washington Wizards,13000000.0,Nene Hilario, C,2013-2014
Golden State Warriors,12868632.0,Andre Iguodala, SG,2013-2014
San Antonio Spurs,12500000.0,Tony Parker, PG,2013-2014
Brooklyn Nets,12433735.0,Kevin Garnett, PF,2013-2014
Oklahoma City Thunder,12350000.0,Serge Ibaka, PF,2013-2014
Minnesota Timberwolves,12100000.0,Nikola Pekovic, C,2013-2014
Brooklyn Nets,21466718.0,Joe Johnson, G,2013-2014
Boston Celtics,12000000.0,Kris Humphries, PF,2013-2014
New York Knicks,21388953.0,Carmelo Anthony, PF,2013-2014
Houston Rockets,20513178.0,Dwight Howard, C,2013-2014
Los Angeles Lakers,19285850.0,Pau Gasol, C,2013-2014
Miami Heat,19067500.0,Chris Bosh, PF,2013-2014
Miami Heat,19067500.0,LeBron James, SF,2013-2014
Atlanta Hawks,12000000.0,Al Horford, C,2013-2014
Boston Celtics,11954545.0,Rajon Rondo, PG,2013-2014
New York Knicks,11862500.0,Andrea Bargnani, C,2013-2014
New Orleans Pelicans,11796247.0,Tyreke Evans, SG,2013-2014
Portland Trail Blazers,11295250.0,Nicolas Batum, SF,2013-2014
Chicago Bulls,11100000.0,Joakim Noah, C,2013-2014
Utah Jazz,11046000.0,Richard Jefferson, F,2013-2014
LA Clippers,10986550.0,DeAndre Jordan, C,2013-2014
Denver Nuggets,10786517.0,Ty Lawson, G,2013-2014
Denver Nuggets,10750000.0,JaVale McGee, C,2013-2014
San Antonio Spurs,10361446.0,Tim Duncan, C,2013-2014
LA Clippers,10146925.0,Danilo Gallinari, SF,2013-2014
Boston Celtics,10105855.0,Gerald Wallace, SF,2013-2014
San Antonio Spurs,10000000.0,Tiago Splitter, C,2013-2014
Golden State Warriors,9887642.0,Stephen Curry, PG,2013-2014
New Orleans Pelicans,9713484.0,Jrue Holiday, PG,2013-2014
Toronto Raptors,9500000.0,DeMar DeRozan, SG,2013-2014
Atlanta Hawks,9500000.0,Paul Millsap, PF,2013-2014
Dallas Mavericks,9316796.0,Shawn Marion, SG,2013-2014
Los Angeles Lakers,9300500.0,Steve Nash, PG,2013-2014
Cleveland Cavaliers,9036364.0,Anderson Varejao, C,2013-2014
Philadelphia 76ers,8850000.0,Thaddeus Young, PF,2013-2014
Oklahoma City Thunder,8727437.0,Kendrick Perkins, C,2013-2014
Boston Celtics,8700000.0,Jeff Green, SF,2013-2014
Memphis Grizzlies,8600001.0,Mike Conley, PG,2013-2014
Detroit Pistons,8580000.0,Charlie Villanueva, PF,2013-2014
Detroit Pistons,8500000.0,Rodney Stuckey, PG,2013-2014
Houston Rockets,8374646.0,Omer Asik, C,2013-2014
Houston Rockets,8374646.0,Jeremy Lin, PG,2013-2014
New Orleans Pelicans,8308500.0,Ryan Anderson, PF,2013-2014
Sacramento Kings,8050000.0,Marcus Thornton, SG,2013-2014
Milwaukee Bucks,8000000.0,O.J. Mayo, SG,2013-2014
Atlanta Hawks,8000000.0,Jeff Teague, PG,2013-2014
Indiana Pacers,8000000.0,George Hill, PG,2013-2014
Milwaukee Bucks,7900000.0,Ersan Ilyasova, PF,2013-2014
Washington Wizards,7727280.0,Trevor Ariza, SF,2013-2014
Washington Wizards,7727280.0,Marcin Gortat, C,2013-2014
Detroit Pistons,7655503.0,Brandon Jennings, G,2013-2014
Toronto Raptors,7583000.0,John Salmons, SF,2013-2014
Chicago Bulls,7550000.0,Taj Gibson, PF,2013-2014
Atlanta Hawks,6204250.0,Jason Richardson, SG,2013-2014
Utah Jazz,6008196.0,Derrick Favors, PF,2013-2014
