Player,Rk,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary
Al Horford,207.0,15-16,C,28.0,ATL,62.333333333333336,62.333333333333336,31.866666666666664,7.166666666666667,13.333333333333334,0.5366666666666666,0.4333333333333334,1.3333333333333333,0.3379999999999999,6.733333333333334,12.0,0.5586666666666668,0.5540000000000002,1.5666666666666667,2.1333333333333333,0.7463333333333333,1.9333333333333333,5.666666666666667,7.633333333333333,3.0,0.8666666666666667,1.4333333333333333,1.6000000000000003,1.8333333333333333,16.333333333333332,27734406.0
Al Jefferson,222.0,15-16,C,30.0,CHO,61.666666666666664,50.666666666666664,29.633333333333336,7.433333333333333,15.0,0.4916666666666667,0.0,0.10000000000000002,0.30000000000000004,7.366666666666667,14.933333333333332,0.49300000000000005,0.4923333333333333,1.9333333333333336,2.9,0.6646666666666666,1.6000000000000003,6.933333333333334,8.533333333333333,1.7666666666666668,0.7333333333333333,1.1,1.1333333333333333,2.3333333333333335,16.8,10000000.0
Al-Farouq Aminu,11.0,15-16,SF,24.0,POR,78.66666666666667,50.0,24.2,2.8333333333333335,6.6000000000000005,0.434,0.7333333333333334,2.1999999999999997,0.302,2.1333333333333333,4.3999999999999995,0.48300000000000004,0.48299999999999993,1.2,1.7333333333333334,0.7043333333333334,1.4333333333333336,4.2,5.633333333333333,1.3,0.9333333333333332,0.6333333333333333,1.1,1.9333333333333333,7.666666666666667,7319035.0
Alec Burks,70.0,15-16,SG,23.0,UTA,45.333333333333336,14.0,29.03333333333333,4.6000000000000005,10.866666666666665,0.42333333333333334,0.8666666666666667,2.2666666666666666,0.379,3.7000000000000006,8.533333333333333,0.43366666666666664,0.46399999999999997,3.6333333333333333,4.7,0.774,0.6666666666666666,3.0,3.6666666666666665,2.566666666666667,0.7000000000000001,0.16666666666666666,1.8,2.3666666666666667,13.733333333333334,10845506.0
Alex Len,262.0,15-16,C,21.0,PHO,63.0,31.0,17.966666666666665,2.2666666666666666,5.0,0.451,0.0,0.03333333333333333,0.23800000000000002,2.2666666666666666,4.966666666666667,0.4526666666666667,0.45166666666666666,1.2666666666666668,1.7666666666666666,0.6916666666666668,1.7666666666666668,3.733333333333334,5.533333333333332,0.6,0.3666666666666667,0.8999999999999999,1.2,2.533333333333333,5.766666666666667,4187599.0
Allen Crabbe,99.0,15-16,SG,22.0,POR,49.0,5.666666666666667,15.366666666666667,1.9333333333333333,4.533333333333334,0.4116666666666666,0.7999999999999999,2.0333333333333337,0.39166666666666666,1.1666666666666667,2.5,0.43566666666666665,0.5020000000000001,0.5333333333333333,0.6666666666666666,0.789,0.16666666666666666,1.3666666666666665,1.5666666666666664,0.7999999999999999,0.4333333333333334,0.19999999999999998,0.43333333333333335,1.5333333333333332,5.266666666666667,18500000.0
Alonzo Gee,152.0,15-16,SF,27.0,NOP,64.0,21.333333333333332,16.8,1.6333333333333335,3.5,0.467,0.2333333333333333,0.7666666666666666,0.3273333333333333,1.4000000000000001,2.733333333333333,0.508,0.5033333333333333,0.7666666666666666,1.0666666666666667,0.691,0.6666666666666666,1.8,2.4666666666666663,0.7333333333333334,0.7000000000000001,0.16666666666666666,0.6999999999999998,1.6333333333333335,4.333333333333333,57672.0
Andre Iguodala,214.0,15-16,SF,31.0,GSW,68.33333333333333,21.333333333333332,28.633333333333336,3.0666666666666664,6.466666666666668,0.4746666666666666,0.9333333333333332,2.6666666666666665,0.3513333333333333,2.1333333333333333,3.8333333333333335,0.5603333333333332,0.5466666666666667,1.0333333333333334,1.6333333333333335,0.6206666666666667,0.7333333333333334,3.266666666666667,4.0,3.5333333333333337,1.2666666666666666,0.3,1.3,1.5,8.033333333333333,14814815.0
Andre Roberson,373.0,15-16,SG,23.0,OKC,59.0,50.333333333333336,17.133333333333333,1.3666666666666665,2.8666666666666667,0.4796666666666667,0.3,1.0333333333333332,0.23733333333333337,1.1333333333333335,1.8333333333333333,0.5946666666666666,0.5216666666666666,0.3333333333333333,0.6,0.5966666666666666,0.9666666666666667,2.3000000000000003,3.266666666666667,0.7000000000000001,0.7000000000000001,0.43333333333333335,0.5666666666666667,1.9666666666666668,3.3666666666666667,9259260.0
Andrew Nicholson,327.0,15-16,PF,25.0,ORL,57.333333333333336,2.6666666666666665,14.133333333333333,2.3666666666666667,5.266666666666667,0.4456666666666667,0.4666666666666666,1.4000000000000001,0.33066666666666666,1.9000000000000001,3.866666666666667,0.48833333333333334,0.49,0.6333333333333333,0.8666666666666666,0.7366666666666667,0.5666666666666667,2.433333333333333,3.033333333333333,0.43333333333333335,0.20000000000000004,0.3333333333333333,0.6666666666666666,1.5,5.833333333333333,6362998.0
