team,salary,player,position,season
Cleveland Cavaliers,30963450.0,LeBron James, SF,2016-2017
LA Clippers,22868827.0,Chris Paul, PG,2016-2017
Memphis Grizzlies,22116750.0,Chandler Parsons, SF,2016-2017
Washington Wizards,22116750.0,Bradley Beal, SG,2016-2017
New Orleans Pelicans,22116750.0,Anthony Davis, PF,2016-2017
New York Knicks,21323252.0,Derrick Rose, PG,2016-2017
Memphis Grizzlies,21165675.0,Marc Gasol, C,2016-2017
LA Clippers,21165675.0,DeAndre Jordan, C,2016-2017
Brooklyn Nets,21165675.0,Brook Lopez, C,2016-2017
Cleveland Cavaliers,21165675.0,Kevin Love, PF,2016-2017
Charlotte Hornets,20869566.0,Nicolas Batum, SF,2016-2017
Memphis Grizzlies,26540100.0,Mike Conley, PG,2016-2017
San Antonio Spurs,20575005.0,LaMarcus Aldridge, PF,2016-2017
LA Clippers,20140839.0,Blake Griffin, PF,2016-2017
Atlanta Hawks,20072033.0,Paul Millsap, PF,2016-2017
Houston Rockets,18735364.0,Ryan Anderson, PF,2016-2017
Portland Trail Blazers,18500000.0,Allen Crabbe, SG,2016-2017
Indiana Pacers,18314532.0,Paul George, SF,2016-2017
Los Angeles Lakers,18000000.0,Luol Deng, SF,2016-2017
San Antonio Spurs,17638063.0,Kawhi Leonard, SF,2016-2017
Cleveland Cavaliers,17638063.0,Kyrie Irving, PG,2016-2017
Chicago Bulls,17552209.0,Jimmy Butler, SG,2016-2017
Boston Celtics,26540100.0,Al Horford, C,2016-2017
Detroit Pistons,17200000.0,Tobias Harris, SF,2016-2017
Milwaukee Bucks,17145838.0,Greg Monroe, C,2016-2017
Oklahoma City Thunder,17145838.0,Enes Kanter, C,2016-2017
Dallas Mavericks,17145838.0,Wesley Matthews, SG,2016-2017
Orlando Magic,17000000.0,Bismack Biyombo, C,2016-2017
New York Knicks,17000000.0,Joakim Noah, C,2016-2017
Washington Wizards,16957900.0,John Wall, PG,2016-2017
Sacramento Kings,16957900.0,DeMarcus Cousins, C,2016-2017
Golden State Warriors,16663575.0,Klay Thompson, SG,2016-2017
Portland Trail Blazers,16393443.0,Evan Turner, SG,2016-2017
Dallas Mavericks,25000000.0,Dirk Nowitzki, PF,2016-2017
Utah Jazz,16073140.0,Gordon Hayward, SF,2016-2017
New York Knicks,24559380.0,Carmelo Anthony, PF,2016-2017
Portland Trail Blazers,24328425.0,Damian Lillard, PG,2016-2017
Miami Heat,23741060.0,Chris Bosh, PF,2016-2017
Chicago Bulls,23200000.0,Dwyane Wade, SG,2016-2017
Atlanta Hawks,23180275.0,Dwight Howard, C,2016-2017
Los Angeles Lakers,16000000.0,Timofey Mozgov, C,2016-2017
Washington Wizards,15944154.0,Ian Mahinmi, C,2016-2017
Miami Heat,15891725.0,Goran Dragic, PG,2016-2017
Atlanta Hawks,15730338.0,Kent Bazemore, SG,2016-2017
San Antonio Spurs,15500000.0,Pau Gasol, C,2016-2017
Golden State Warriors,15330435.0,Draymond Green, PF,2016-2017
Cleveland Cavaliers,15330435.0,Tristan Thompson, C,2016-2017
Milwaukee Bucks,15200000.0,Khris Middleton, SF,2016-2017
Denver Nuggets,15050000.0,Danilo Gallinari, SF,2016-2017
Orlando Magic,15000000.0,Jeff Green, SF,2016-2017
Detroit Pistons,14956522.0,Reggie Jackson, PG,2016-2017
San Antonio Spurs,14445313.0,Tony Parker, PG,2016-2017
Toronto Raptors,14382023.0,Jonas Valanciunas, C,2016-2017
Toronto Raptors,14200000.0,DeMarre Carroll, SF,2016-2017
Indiana Pacers,14153652.0,Thaddeus Young, PF,2016-2017
