Player,Rk,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2019-20
Aaron Gordon,178.0,19-20,PF,22.0,ORL,71.2,61.2,30.359999999999996,5.26,11.78,0.44939999999999997,1.26,3.84,0.3154,4.04,7.92,0.5098,0.4998,2.2399999999999998,3.1800000000000006,0.6980000000000001,1.6800000000000002,5.220000000000001,6.92,2.6399999999999997,0.82,0.6599999999999999,1.48,2.06,13.98,19863636
Al Horford,228.0,19-20,C,31.0,PHI,71.4,70.2,31.040000000000003,5.54,11.26,0.4904,1.2600000000000002,3.4,0.36760000000000004,4.279999999999999,7.840000000000001,0.543,0.5466,1.24,1.58,0.7929999999999999,1.5799999999999998,5.42,7.0,4.22,0.78,1.2200000000000002,1.5,1.98,13.52,28000000
Al-Farouq Aminu,9.0,19-20,PF,27.0,ORL,62.2,51.4,27.4,2.8999999999999995,7.380000000000001,0.3856,1.22,3.6399999999999997,0.3306,1.6800000000000002,3.78,0.4358000000000001,0.4662,1.3800000000000001,1.8,0.7405999999999999,1.3199999999999998,5.359999999999999,6.68,1.4000000000000001,0.9600000000000002,0.5399999999999999,1.1800000000000002,1.8199999999999998,8.379999999999999,9258000
Alec Burks,80.0,19-20,SG,26.0,TOT,53.4,9.4,21.16,3.4800000000000004,8.440000000000001,0.4086,1.02,2.7399999999999998,0.3626,2.4400000000000004,5.699999999999999,0.43220000000000003,0.4673999999999999,2.38,2.9,0.8188000000000001,0.48,2.98,3.4799999999999995,1.7200000000000002,0.62,0.18,1.14,1.6,10.3,2320044
Alex Len,293.0,19-20,C,24.0,TOT,71.2,27.2,20.3,3.38,6.74,0.507,0.26,0.8,0.272,3.1,5.94,0.534,0.5244,1.8799999999999997,2.76,0.6858000000000001,2.1399999999999997,4.48,6.6,1.0,0.44000000000000006,0.96,1.3199999999999998,2.64,8.92,4160000
Allen Crabbe,115.0,19-20,SG,25.0,TOT,63.0,20.8,25.54,3.4,8.22,0.4114,1.8199999999999998,4.72,0.3792,1.6,3.5,0.453,0.5197999999999999,1.06,1.3,0.8024000000000001,0.32,2.7399999999999998,3.0800000000000005,1.2,0.6,0.27999999999999997,0.8400000000000001,2.1000000000000005,9.679999999999998,17818456
Andre Drummond,140.0,19-20,C,24.0,TOT,75.2,75.0,32.56,6.639999999999999,12.540000000000003,0.5292,0.04,0.2800000000000001,0.17880000000000001,6.58,12.26,0.5378000000000001,0.5307999999999999,2.6999999999999997,5.42,0.5022,4.82,10.26,15.079999999999998,1.8,1.6199999999999999,1.48,2.4400000000000004,3.2,15.959999999999999,27093019
Andre Iguodala,237.0,19-20,SG,34.0,MIA,58.8,4.2,24.259999999999998,2.38,4.96,0.48019999999999996,0.7,2.16,0.32520000000000004,1.6600000000000001,2.78,0.605,0.5521999999999999,0.7,1.14,0.5868,0.76,3.1,3.84,3.1399999999999997,0.9,0.6399999999999999,1.0,1.5,6.18,17185185
Andrew Wiggins,510.0,19-20,SF-SG,22.0,TOT,74.4,74.4,35.559999999999995,7.539999999999999,17.14,0.44159999999999994,1.42,4.180000000000001,0.3316,6.159999999999999,12.920000000000002,0.47620000000000007,0.4822,3.8200000000000003,5.3,0.7144,1.16,3.22,4.38,2.5,0.9800000000000001,0.6599999999999999,2.1,2.1399999999999997,20.380000000000003,27504630
Anthony Davis,123.0,19-20,PF,24.0,LAL,65.8,65.8,35.08,9.66,18.880000000000003,0.5104,0.78,2.3800000000000003,0.32480000000000003,8.860000000000001,16.540000000000003,0.5372,0.5307999999999999,6.419999999999999,7.959999999999999,0.8056000000000001,2.46,8.42,10.9,2.6799999999999997,1.44,2.3,2.2199999999999998,2.32,26.48,27093019
