Player,Rk,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary
Aaron Brooks,62.0,15-16,PG,29.5,CHI,69.0,13.25,19.875,3.2,7.725,0.41900000000000004,1.175,3.1,0.376,2.0500000000000003,4.55,0.4485,0.4955,1.125,1.325,0.8105,0.37499999999999994,1.3499999999999999,1.725,2.8,0.6,0.175,1.4999999999999998,1.9999999999999998,8.7,2700000.0
Al Horford,207.0,15-16,C,27.5,ATL,65.25,65.25,33.2,7.325,13.575,0.5382499999999999,0.32500000000000007,1.025,0.37849999999999995,6.9750000000000005,12.55,0.555,0.5517500000000001,1.625,2.3,0.72075,2.1,6.15,8.274999999999999,3.05,0.925,1.35,1.7000000000000002,1.925,16.6,26540100.0
Al Jefferson,222.0,15-16,C,29.5,CHO,65.75,57.5,30.5,7.5249999999999995,15.2,0.49225,0.0,0.125,0.23933333333333337,7.4750000000000005,15.1,0.49475,0.493,1.975,2.875,0.6910000000000001,1.7000000000000002,7.0,8.7,1.85,0.7999999999999999,1.1,1.175,2.3,17.05,10314532.0
Al-Farouq Aminu,11.0,15-16,SF,23.5,POR,78.0,55.25,24.95,2.875,6.5,0.44425000000000003,0.5750000000000001,1.7249999999999999,0.27925,2.325,4.8,0.48375,0.482,1.225,1.75,0.7125,1.5250000000000001,4.625,6.1499999999999995,1.325,1.0,0.6499999999999999,1.2000000000000002,1.95,7.575,7680965.0
Alec Burks,70.0,15-16,SG,22.5,UTA,50.0,10.5,26.224999999999998,4.075,9.674999999999999,0.4225,0.775,2.05,0.374,3.2750000000000004,7.549999999999999,0.435,0.46375,3.075,4.025,0.75875,0.65,2.675,3.325,2.275,0.65,0.175,1.6500000000000001,2.225,12.05,10154495.0
Alonzo Gee,152.0,15-16,SF,26.5,NOP,68.5,36.5,20.35,2.1500000000000004,4.9,0.45275,0.375,1.25,0.32425,1.775,3.65,0.4935,0.4915,1.075,1.4249999999999998,0.717,0.725,2.1,2.8249999999999997,0.9500000000000001,0.8500000000000001,0.225,0.9249999999999999,1.8250000000000002,5.825,57672.0
Amir Johnson,228.0,15-16,PF,26.5,BOS,78.0,64.5,26.675,3.9499999999999997,6.925000000000001,0.56875,0.19999999999999998,0.55,0.3335,3.75,6.375,0.5912499999999999,0.58125,1.225,1.8499999999999999,0.63625,2.35,4.2749999999999995,6.65,1.575,0.75,1.1,1.4250000000000003,3.2249999999999996,9.25,12000000.0
Andre Iguodala,214.0,15-16,SF,30.5,GSW,71.25,36.0,30.150000000000002,3.55,7.6000000000000005,0.46875,0.975,2.9,0.34274999999999994,2.55,4.725,0.5489999999999999,0.5355000000000001,1.25,2.075,0.609,0.8,3.5250000000000004,4.325,4.0,1.375,0.39999999999999997,1.625,1.525,9.275,11131368.0
Andrew Bogut,54.0,15-16,C,29.5,GSW,59.0,57.5,23.824999999999996,2.9,5.175,0.567,0.0,0.0,1.0,2.9,5.15,0.5660000000000001,0.56825,0.375,0.875,0.46199999999999997,2.15,6.025,8.200000000000001,2.2,0.6,1.7,1.3249999999999997,2.95,6.2,242224.0
Andrew Nicholson,327.0,15-16,PF,24.5,ORL,61.75,9.0,14.774999999999999,2.625,5.575,0.4660000000000001,0.35,1.05,0.33066666666666666,2.275,4.525,0.498,0.49924999999999997,0.725,0.9749999999999999,0.752,0.65,2.45,3.125,0.475,0.22500000000000003,0.35,0.7749999999999999,1.575,6.325,6088993.0
