team,salary,player,position,season
Los Angeles Lakers,30453805.0,Kobe Bryant, SF,2012-2013
LA Clippers,18668431.0,Chris Paul, PG,2012-2013
Oklahoma City Thunder,17832626.0,Kevin Durant, SF,2012-2013
Chicago Bulls,17632688.0,Derrick Rose, PG,2012-2013
Brooklyn Nets,17177795.0,Deron Williams, PG,2012-2013
Philadelphia 76ers,16889000.0,Andrew Bynum, C,2012-2013
Boston Celtics,16790345.0,Paul Pierce, SF,2012-2013
Memphis Grizzlies,16500000.0,Zach Randolph, PF,2012-2013
Memphis Grizzlies,16460538.0,Rudy Gay, SF,2012-2013
Chicago Bulls,15300000.0,Carlos Boozer, PF,2012-2013
Denver Nuggets,14968250.0,Andre Iguodala, SG,2012-2013
Dallas Mavericks,20907128.0,Dirk Nowitzki, PF,2012-2013
Oklahoma City Thunder,14693906.0,Russell Westbrook, PG,2012-2013
Washington Wizards,14487500.0,Emeka Okafor, C,2012-2013
Chicago Bulls,14275000.0,Luol Deng, SF,2012-2013
San Antonio Spurs,14107492.0,Manu Ginobili, G,2012-2013
Memphis Grizzlies,13891359.0,Marc Gasol, C,2012-2013
LA Clippers,13701250.0,Blake Griffin, PF,2012-2013
Brooklyn Nets,13668750.0,Brook Lopez, C,2012-2013
Minnesota Timberwolves,13668750.0,Kevin Love, PF,2012-2013
New York Knicks,13604188.0,Tyson Chandler, C,2012-2013
Portland Trail Blazers,13500000.0,LaMarcus Aldridge, PF,2012-2013
New York Knicks,19948799.0,Amar'e Stoudemire, C,2012-2013
Utah Jazz,13500000.0,Al Jefferson, C,2012-2013
Charlotte Bobcats,13200000.0,Ben Gordon, SG,2012-2013
Atlanta Hawks,13200000.0,Josh Smith, PF,2012-2013
Indiana Pacers,13058606.0,Danny Granger, SF,2012-2013
Golden State Warriors,13000000.0,Andrew Bogut, C,2012-2013
Washington Wizards,13000000.0,Nene Hilario, C,2012-2013
Golden State Warriors,12744000.0,David Lee, PF,2012-2013
San Antonio Spurs,12500000.0,Tony Parker, PG,2012-2013
Oklahoma City Thunder,12439675.0,Kevin Martin, SG,2012-2013
Oklahoma City Thunder,12350000.0,Serge Ibaka, PF,2012-2013
Brooklyn Nets,19752645.0,Joe Johnson, G,2012-2013
Brooklyn Nets,12000000.0,Kris Humphries, PF,2012-2013
New York Knicks,19444503.0,Carmelo Anthony, PF,2012-2013
Los Angeles Lakers,19285850.0,Pau Gasol, C,2012-2013
Miami Heat,19067500.0,Chris Bosh, PF,2012-2013
Miami Heat,19067500.0,LeBron James, SF,2012-2013
Miami Heat,18673000.0,Dwyane Wade, SG,2012-2013
Atlanta Hawks,12000000.0,Al Horford, C,2012-2013
Boston Celtics,11566265.0,Kevin Garnett, PF,2012-2013
Chicago Bulls,11100000.0,Joakim Noah, C,2012-2013
Toronto Raptors,11046591.0,Jose Calderon, PG,2012-2013
Boston Celtics,11000000.0,Rajon Rondo, PG,2012-2013
Milwaukee Bucks,11000000.0,Monta Ellis, SG,2012-2013
LA Clippers,10986550.0,DeAndre Jordan, C,2012-2013
Detroit Pistons,10924138.0,Corey Maggette, SF,2012-2013
Brooklyn Nets,10890000.0,Mehmet Okur, C,2012-2013
Portland Trail Blazers,10850000.0,Nicolas Batum, SF,2012-2013
Golden State Warriors,10164000.0,Richard Jefferson, F,2012-2013
San Antonio Spurs,10059750.0,Stephen Jackson, SF,2012-2013
Denver Nuggets,10000000.0,JaVale McGee, C,2012-2013
Toronto Raptors,10000000.0,Andrea Bargnani, C,2012-2013
Indiana Pacers,10000000.0,David West, F,2012-2013
Minnesota Timberwolves,9779349.0,Andrei Kirilenko, SF,2012-2013
Brooklyn Nets,9682435.0,Gerald Wallace, SF,2012-2013
San Antonio Spurs,9638554.0,Tim Duncan, C,2012-2013
LA Clippers,9500000.0,Cuttino Mobley, SG,2012-2013
