team,salary,player,position,season
Los Angeles Lakers,25244493.0,Kobe Bryant, SF,2011-2012
Orlando Magic,18091770.0,Dwight Howard, C,2011-2012
Atlanta Hawks,18038573.0,Joe Johnson, G,2011-2012
Philadelphia 76ers,17823000.0,Andrei Kirilenko, SF,2011-2012
Miami Heat,17545000.0,Chris Bosh, PF,2011-2012
Miami Heat,17545000.0,LeBron James, SF,2011-2012
LA Clippers,16359805.0,Chris Paul, PG,2011-2012
New Jersey Nets,16359805.0,Deron Williams, PG,2011-2012
Miami Heat,15691000.0,Dwyane Wade, SG,2011-2012
Oklahoma City Thunder,15506632.0,Kevin Durant, SF,2011-2012
Boston Celtics,15333334.0,Paul Pierce, SF,2011-2012
Boston Celtics,21247044.0,Kevin Garnett, PF,2011-2012
Memphis Grizzlies,15200000.0,Zach Randolph, PF,2011-2012
Cleveland Cavaliers,15076715.0,Antawn Jamison, PF,2011-2012
Memphis Grizzlies,15032144.0,Rudy Gay, SF,2011-2012
Minnesota Timberwolves,15032144.0,Brandon Roy, SG,2011-2012
Utah Jazz,15000000.0,Al Jefferson, C,2011-2012
Los Angeles Lakers,14900000.0,Andrew Bynum, C,2011-2012
Philadelphia 76ers,14718250.0,Andre Iguodala, SG,2011-2012
San Antonio Spurs,14107492.0,Manu Ginobili, G,2011-2012
New Orleans Hornets,14030000.0,Chris Kaman, C,2011-2012
Portland Trail Blazers,14000000.0,LaMarcus Aldridge, PF,2011-2012
San Antonio Spurs,21164619.0,Tim Duncan, C,2011-2012
Chicago Bulls,13500000.0,Carlos Boozer, PF,2011-2012
New York Knicks,13107837.0,Tyson Chandler, C,2011-2012
Washington Wizards,13000000.0,Nene Hilario, C,2011-2012
Memphis Grizzlies,12922194.0,Marc Gasol, C,2011-2012
New Orleans Hornets,12642500.0,Emeka Okafor, C,2011-2012
San Antonio Spurs,12500000.0,Tony Parker, PG,2011-2012
Atlanta Hawks,12498483.0,Al Horford, C,2011-2012
Atlanta Hawks,12400000.0,Josh Smith, PF,2011-2012
Chicago Bulls,12325000.0,Luol Deng, SF,2011-2012
Indiana Pacers,12015904.0,Danny Granger, SF,2011-2012
